Previsit behavior_ I visit their website,Previsit behavior_ I research about the place on 3rd party websites,Previsit behavior_ I use the mobile App for the place,Previsit behavior_ I ask friends or family members for their opinion/recommendation,Previsit behavior_ I look for discount codes or price promotions online.,Previsit behavior_ I review recommendations from travel related sources,Previsit behavior_ I look at information and reviews from online search engines,Previsit behavior_ I review what influencers
1,1,0,1,1,1,1,0
1,1,0,1,0,1,1,0
0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
1,0,1,0,1,0,1,0
1,1,0,0,1,0,0,0
1,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,0
1,1,0,0,0,1,0,0
1,0,1,0,1,0,0,0
1,0,0,1,0,1,1,0
1,0,1,0,0,0,1,0
0,0,0,1,0,1,1,0
1,0,0,1,1,0,0,0
1,0,0,0,0,1,1,1
1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0
0,0,0,1,0,1,1,0
1,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1
1,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0
1,0,0,1,0,1,1,0
1,0,1,1,1,0,1,0
1,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0
0,0,0,0,1,0,1,0
0,1,0,1,1,0,0,0
1,0,0,0,0,1,1,1
1,0,0,1,0,1,1,1
1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0
1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0
1,1,0,1,0,1,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,1,0,1,0,1,0
1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0
0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0
1,0,0,1,1,1,1,1
1,0,1,1,1,1,1,0
1,1,0,0,1,0,1,0
1,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,1,1,0
0,0,0,0,0,1,0,0
0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0
1,0,1,0,1,0,0,0
1,1,0,1,0,0,1,0
1,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0
1,0,1,0,0,1,1,0
1,1,0,1,0,1,1,0
1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0
0,0,1,1,1,1,0,0
1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1
1,0,0,1,1,0,0,0
1,1,0,0,1,1,1,0
1,0,0,1,0,1,1,0
0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0
0,1,0,1,0,1,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0
1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0
1,0,0,1,0,0,0,0
1,0,0,0,1,0,1,0
1,0,0,1,1,1,1,1
1,0,0,0,1,0,1,0
1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0
1,0,1,0,0,1,1,0
1,0,0,1,1,0,0,0
0,0,0,0,0,1,1,0
1,1,0,0,1,1,1,1
1,0,0,0,0,0,1,1
1,0,0,1,1,1,0,0
0,0,0,0,0,1,1,0
1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,0
1,0,0,1,1,0,1,0
1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,0
0,0,0,0,1,0,1,0
0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,0
1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0
0,1,0,0,1,1,0,0
1,0,0,0,1,1,0,0
1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0
1,0,0,1,0,0,1,1
0,1,0,1,1,1,1,0
1,1,0,1,1,0,1,0
0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0
1,0,0,0,0,0,1,1
0,0,0,1,0,1,1,0
0,0,0,0,1,1,0,0
0,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0
1,0,0,1,1,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0
1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,1
1,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,1
1,1,0,0,0,0,0,1
1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0
0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0
1,0,0,0,1,0,1,1
1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0
1,1,1,1,1,1,0,0
0,0,0,0,1,0,1,1
1,0,1,1,0,1,1,1
1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0
1,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1
1,0,0,0,1,0,1,0
1,1,1,1,0,0,1,1
0,0,0,1,0,0,0,0
1,1,1,1,0,1,0,0
1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0
1,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0
1,0,0,0,1,1,1,0
1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,0
1,0,0,1,0,0,1,0
1,0,0,1,1,0,1,0
1,0,0,1,1,0,1,0
1,0,1,1,0,0,0,1
1,0,0,0,0,0,1,0
1,0,0,1,1,0,1,1
1,0,0,1,0,1,1,0
0,0,1,1,0,0,1,1
1,1,0,1,1,0,0,0
1,0,0,1,0,0,1,0
1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0
1,0,0,0,0,1,1,0
1,0,1,0,1,0,1,1
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1
1,0,0,0,1,1,0,1
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0
1,1,0,1,1,0,1,0
1,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0
1,0,0,1,1,0,0,1
1,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0
1,0,0,1,1,1,0,1
1,0,0,0,1,0,1,1
0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0
1,0,1,0,0,1,0,0
1,1,1,1,1,0,1,1
1,0,0,0,0,0,1,0
1,0,1,1,0,1,1,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
1,1,0,0,1,1,0,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0
1,0,0,0,0,1,1,0
1,1,1,0,0,0,0,0
0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0
1,1,1,1,0,1,1,1
1,0,1,1,1,1,1,1
0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0
1,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0
0,0,0,0,1,1,0,1
1,0,1,1,1,1,0,1
1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0
0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1
1,0,1,1,1,0,1,1
1,0,1,1,0,1,0,0
0,0,1,0,0,0,0,0
1,1,0,0,1,1,1,0
1,0,0,1,1,1,1,0
1,0,0,0,1,0,1,0
1,1,0,0,0,1,1,1
0,0,1,0,1,0,0,1
1,1,0,0,0,1,1,1
0,0,0,1,0,1,0,0
1,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0
0,0,1,0,1,1,1,0
1,1,0,0,0,1,1,0
1,0,0,0,1,1,1,0
1,0,1,1,1,1,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,0
0,0,1,0,1,1,0,0
1,1,0,1,1,1,1,1
1,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,1,0,0,1,0,1,1
1,0,1,0,0,0,0,0
0,0,0,0,1,1,1,0
1,0,0,1,0,1,1,0
1,0,1,1,1,0,0,1
1,0,0,0,1,0,0,0
1,0,0,0,1,1,1,0
1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0
1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,0
1,0,0,1,0,0,1,0
0,1,1,0,1,1,0,0
1,0,1,1,0,0,1,0
0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0
1,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0
1,1,1,0,1,0,1,0
0,0,0,1,0,0,0,0
1,1,0,0,0,0,1,0
1,0,0,1,1,1,0,0
0,0,0,0,0,0,1,0
1,0,0,1,1,0,0,1
1,1,0,1,0,0,0,0
1,0,0,1,0,0,1,0
1,0,1,0,1,1,0,1
0,0,0,1,0,0,0,0
0,1,1,1,0,1,1,1
1,0,0,1,0,0,1,0
1,0,0,1,0,1,0,1
1,0,0,1,1,0,1,1
0,1,0,0,0,1,1,1
1,1,0,1,1,1,1,0
1,0,0,1,0,0,1,0
1,0,0,1,1,1,1,0
1,1,1,1,1,1,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0
0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0
0,0,1,1,1,1,0,0
1,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0
1,0,1,1,1,1,0,0
1,1,0,1,0,0,1,0
1,0,1,1,1,1,1,1
1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,0,0,1,0
1,0,0,0,1,0,1,1
1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0
1,0,1,1,0,0,1,0
1,0,1,1,1,0,0,0
1,0,0,1,0,1,1,0
0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0
1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,0
0,1,0,1,1,0,1,1
1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0
1,0,0,1,1,0,1,0
1,1,0,1,1,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,1,0,1,0
0,0,0,1,1,0,1,1
1,0,1,0,0,0,1,0
1,0,1,1,0,0,0,0
0,0,0,1,1,1,1,0
1,0,0,0,1,0,1,0
0,0,0,1,0,0,1,1
1,1,0,0,1,0,0,0
0,0,1,1,0,1,0,1
1,1,0,0,1,1,1,0
0,1,0,1,1,0,1,0
0,0,0,0,1,0,0,0
0,0,1,0,1,1,0,0
0,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0
1,0,0,1,1,0,1,1
1,0,1,1,0,0,1,0
1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,1
1,0,0,1,1,0,1,1
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1
1,0,0,0,0,0,1,1
0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0
1,0,0,1,1,0,1,0
1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0
1,1,0,1,0,1,1,0
1,1,0,0,1,0,1,0
1,0,0,1,1,0,1,0
1,1,0,1,1,1,1,0
1,0,0,0,1,0,0,0
1,0,0,1,1,0,0,0
1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0
1,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0
0,0,0,1,1,0,1,0
1,0,0,1,1,1,1,0
0,0,0,0,0,0,1,0
0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,0
1,0,0,1,1,0,1,0
1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0
0,0,0,0,0,0,1,0
1,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0
0,1,0,0,1,0,1,0
1,0,1,1,0,0,1,0
0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0
1,1,0,1,0,1,1,0
1,0,0,0,1,0,1,0
1,1,0,1,1,1,1,0
0,0,0,1,1,0,1,0
0,0,0,1,1,0,0,0
1,0,1,1,1,0,1,0
1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,1
1,0,1,1,1,0,0,0
1,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,0
1,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1
1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0
0,1,0,0,1,0,1,0
1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0
1,1,0,1,1,1,0,0
0,0,0,1,0,1,1,0
1,0,0,1,1,1,0,0
1,0,1,0,0,0,0,0
1,0,0,1,1,1,0,0
1,1,0,1,1,0,1,1
1,0,0,1,1,1,1,1
1,0,0,1,0,0,1,1
1,0,0,1,1,1,1,1
1,1,0,1,1,0,1,0
1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0
0,0,0,1,1,1,1,0
1,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0
1,0,0,1,1,0,1,1
1,1,0,0,0,0,1,1
1,0,0,1,1,0,1,1
1,0,0,1,0,0,1,1
0,0,0,1,1,1,1,0
1,0,1,0,1,1,0,0
1,0,1,1,1,0,1,1
1,0,0,1,0,0,0,0
1,0,0,1,0,0,1,1
1,1,1,0,0,1,1,1
1,0,0,1,0,0,1,0
1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0
0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0
1,1,1,0,1,0,1,1
0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,1
1,1,0,1,0,1,1,1
0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0
0,0,1,1,0,1,0,0
1,0,1,1,0,0,1,1
1,0,0,1,1,1,0,0
0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0
0,0,0,0,0,0,1,0
0,0,0,1,1,0,1,0
0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,0
0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0
1,1,0,1,1,1,1,1
0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,0
1,0,1,0,0,1,0,0
1,0,0,0,1,0,1,0
1,1,0,1,1,0,1,0
0,0,0,0,0,0,1,1
1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1
1,0,0,1,0,0,1,0
1,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1
1,0,0,0,0,0,1,0
1,1,0,0,1,1,1,1
1,1,0,0,1,0,0,0
1,1,0,1,1,0,1,1
1,0,1,1,0,0,1,0
1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1
1,0,0,1,0,1,1,0
1,1,0,1,1,0,1,0
1,1,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,0,1,0,0,0,1,1
0,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0
0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0
1,0,0,0,1,1,1,0
1,0,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,0,0,0,1,0,1,0
1,1,0,0,0,0,1,1
1,0,0,1,0,1,1,0
1,0,0,1,0,1,1,0
0,0,0,0,0,0,1,0
0,0,0,1,1,1,1,0
1,0,0,0,1,0,0,1
1,1,0,1,0,0,1,0
1,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0
1,0,0,0,1,1,1,0
1,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,1,1,1,0
1,0,0,0,1,1,0,1
1,1,1,1,0,0,0,1
1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0
1,0,0,1,1,0,1,0
1,1,0,1,1,1,1,0
1,1,0,1,0,0,1,0
1,0,0,1,1,0,0,1
1,0,1,0,1,1,1,0
0,1,0,0,0,0,0,0
1,0,0,1,0,1,1,0
1,0,1,1,1,0,0,0
1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0
1,0,0,0,1,0,1,0
1,1,0,1,0,1,1,0
1,0,0,0,1,0,0,0
1,0,0,1,1,0,1,0
0,0,0,1,1,1,1,1
1,0,0,0,1,0,1,0
1,1,1,0,0,1,1,1
1,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,1
1,1,1,0,1,0,1,0
0,1,0,0,0,0,1,1
0,0,1,1,0,0,0,0
1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0
1,0,1,1,1,0,1,0
1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0
0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0
1,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0
1,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0
1,1,1,1,1,1,1,0
1,0,1,0,0,1,0,0
0,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0
1,0,0,0,1,0,1,1
1,0,0,1,0,0,1,0
1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0
1,0,0,1,1,0,0,0
0,0,1,1,0,1,1,1
0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0
1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,1
1,0,1,1,0,1,1,1
1,0,0,1,0,0,0,0
1,0,0,1,1,1,0,0
0,0,0,1,1,1,0,0
0,1,0,0,1,1,1,0
1,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0
1,0,0,0,1,0,0,0
1,0,1,1,1,0,1,0
0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0
0,0,0,1,1,1,0,0
0,0,0,1,0,0,1,0
1,0,0,1,0,1,1,0
1,1,0,0,0,0,1,1
1,1,0,0,1,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,0,1,1,1
0,0,0,1,0,1,1,0
0,1,1,0,1,1,1,0
1,0,0,1,1,0,1,0
1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0
0,0,0,1,1,1,0,0
1,1,0,1,0,1,1,0
1,0,0,1,1,0,1,0
1,1,1,1,0,1,1,1
0,1,0,0,0,0,1,1
0,0,0,0,0,1,1,0
1,0,0,1,1,0,1,0
1,0,1,0,1,1,1,0
0,0,1,1,1,0,0,0
1,0,0,0,0,0,1,1
1,0,0,1,1,0,0,1
1,1,1,1,1,1,1,0
1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0
1,1,1,0,1,1,1,1
1,0,0,1,1,0,1,0
1,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0
1,0,0,1,1,0,1,0
0,0,0,0,0,0,1,0
1,1,1,1,0,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,1,0,0,0
1,1,0,0,1,0,1,0
0,0,0,1,0,0,0,0
1,1,1,0,1,0,1,0
0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,1,0,1,0
0,0,0,1,0,0,1,0
1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,0
1,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0
1,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0
